SalePrice,GrLivArea,OverallQual,SaleCondition,BldgType,YearBuilt,GarageCars,LotArea,HeatingQC,KitchenQual,MiscVal,YearRemodAdd,YrSold,RoofStyle,SaleType
208500,1710,7,Normal,1Fam,2003,2,8450,Ex,Gd,0,2003,2008,Gable,WD
181500,1262,6,Normal,1Fam,1976,2,9600,Ex,TA,0,1976,2007,Gable,WD
223500,1786,7,Normal,1Fam,2001,2,11250,Ex,Gd,0,2002,2008,Gable,WD
140000,1717,7,Abnorml,1Fam,1915,3,9550,Gd,Gd,0,1970,2006,Gable,WD
250000,2198,8,Normal,1Fam,2000,3,14260,Ex,Gd,0,2000,2008,Gable,WD
143000,1362,5,Normal,1Fam,1993,2,14115,Ex,TA,700,1995,2009,Gable,WD
307000,1694,8,Normal,1Fam,2004,2,10084,Ex,Gd,0,2005,2007,Gable,WD
200000,2090,7,Normal,1Fam,1973,2,10382,Ex,TA,350,1973,2009,Gable,WD
129900,1774,7,Abnorml,1Fam,1931,2,6120,Gd,TA,0,1950,2008,Gable,WD
118000,1077,5,Normal,2fmCon,1939,1,7420,Ex,TA,0,1950,2008,Gable,WD
129500,1040,5,Normal,1Fam,1965,1,11200,Ex,TA,0,1965,2008,Hip,WD
345000,2324,9,Partial,1Fam,2005,3,11924,Ex,Ex,0,2006,2006,Hip,New
144000,912,5,Normal,1Fam,1962,1,12968,TA,TA,0,1962,2008,Hip,WD
279500,1494,7,Partial,1Fam,2006,3,10652,Ex,Gd,0,2007,2007,Gable,New
157000,1253,6,Normal,1Fam,1960,1,10920,TA,TA,0,1960,2008,Hip,WD
132000,854,7,Normal,1Fam,1929,2,6120,Ex,TA,0,2001,2007,Gable,WD
149000,1004,6,Normal,1Fam,1970,2,11241,Ex,TA,700,1970,2010,Gable,WD
90000,1296,4,Normal,Duplex,1967,2,10791,TA,TA,500,1967,2006,Gable,WD
159000,1114,5,Normal,1Fam,2004,2,13695,Ex,Gd,0,2004,2008,Gable,WD
139000,1339,5,Abnorml,1Fam,1958,1,7560,TA,TA,0,1965,2009,Hip,COD
325300,2376,8,Partial,1Fam,2005,3,14215,Ex,Gd,0,2006,2006,Gable,New
139400,1108,7,Normal,1Fam,1930,1,7449,Ex,Gd,0,1950,2007,Gable,WD
230000,1795,8,Normal,1Fam,2002,2,9742,Ex,Gd,0,2002,2008,Hip,WD
129900,1060,5,Normal,TwnhsE,1976,2,4224,TA,TA,0,1976,2007,Gable,WD
154000,1060,5,Normal,1Fam,1968,1,8246,Ex,Gd,0,2001,2010,Gable,WD
256300,1600,8,Normal,1Fam,2007,3,14230,Ex,Gd,0,2007,2009,Gable,WD
134800,900,5,Normal,1Fam,1951,2,7200,TA,Gd,0,2000,2010,Gable,WD
306000,1704,8,Normal,1Fam,2007,3,11478,Ex,Gd,0,2008,2010,Gable,WD
207500,1600,5,Normal,1Fam,1957,1,16321,TA,TA,0,1997,2006,Gable,WD
68500,520,4,Normal,1Fam,1927,1,6324,Fa,Fa,0,1950,2008,Gable,WD
40000,1317,4,Normal,1Fam,1920,1,8500,TA,TA,0,1950,2008,Gambrel,WD
149350,1228,5,Normal,1Fam,1966,1,8544,Gd,Gd,0,2006,2008,Gable,WD
179900,1234,8,Normal,1Fam,2007,2,11049,Ex,Gd,0,2007,2008,Gable,WD
165500,1700,5,Normal,1Fam,1959,2,10552,Gd,Gd,0,1959,2010,Hip,WD
277500,1561,9,Normal,TwnhsE,2005,2,7313,Ex,Ex,0,2005,2007,Hip,WD
309000,2452,8,Normal,1Fam,2004,3,13418,Ex,Gd,0,2005,2006,Gable,WD
145000,1097,5,Normal,1Fam,1994,2,10859,Ex,TA,0,1995,2009,Gable,WD
153000,1297,5,Normal,1Fam,1954,2,8532,Gd,TA,0,1990,2009,Hip,WD
109000,1057,5,Abnorml,1Fam,1953,1,7922,TA,Gd,0,2007,2010,Gable,WD
82000,1152,4,AdjLand,Duplex,1955,0,6040,TA,Fa,0,1955,2008,Gable,WD
160000,1324,6,Abnorml,1Fam,1965,2,8658,Ex,TA,0,1965,2006,Gable,WD
170000,1328,5,Normal,1Fam,1959,1,16905,Gd,TA,0,1959,2007,Gable,WD
144000,884,5,Normal,1Fam,1983,2,9180,Gd,Gd,0,1983,2007,Gable,WD
130250,938,5,Normal,1Fam,1975,1,9200,TA,TA,0,1980,2008,Hip,WD
141000,1150,5,Normal,1Fam,1959,1,7945,Ex,TA,0,1959,2006,Gable,WD
319900,1752,9,Normal,TwnhsE,2005,2,7658,Ex,Ex,0,2005,2010,Hip,WD
239686,2149,7,Abnorml,1Fam,2003,2,12822,Ex,Gd,0,2003,2009,Gable,WD
249700,1656,8,Normal,1Fam,2006,3,11096,Ex,Gd,0,2006,2007,Gable,WD
113000,1452,4,Partial,2fmCon,1920,0,4456,Gd,TA,0,2008,2009,Gable,New
127000,955,5,Normal,1Fam,1966,1,7742,Ex,TA,0,1966,2007,Gable,WD
177000,1470,6,Normal,1Fam,1997,2,13869,Gd,TA,0,1997,2007,Gable,WD
114500,1176,6,Normal,1Fam,1934,2,6240,TA,TA,400,1950,2006,Gable,WD
110000,816,5,Normal,Duplex,1963,2,8472,TA,TA,0,1963,2010,Gable,WD
385000,1842,9,Normal,1Fam,1981,3,50271,Gd,Gd,0,1987,2006,Gable,WD
130000,1360,5,Normal,1Fam,1955,2,7134,TA,TA,0,1955,2007,Gable,WD
180500,1425,6,Normal,1Fam,1964,2,10175,Gd,TA,0,1964,2008,Gable,WD
172500,1739,8,Abnorml,Twnhs,1999,2,2645,Ex,Gd,0,2000,2009,Gable,WD
196500,1720,7,Normal,1Fam,2004,2,11645,Ex,Gd,0,2004,2006,Gable,WD
